Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Year,Month,Log_Sales,z_score,iso_anomaly
281,US-2016-161991,2016-09-26,2016-09-28,Second Class,SC-20725,Steven Cartwright,Consumer,United States,Houston,Texas,77070.0,Central,OFF-BI-10004967,Office Supplies,Binders,Round Ring Binders,2.08,2016,9,0.7323678937132266,-2.05278212041531,-1
282,US-2016-161991,2016-09-26,2016-09-28,Second Class,SC-20725,Steven Cartwright,Consumer,United States,Houston,Texas,77070.0,Central,TEC-PH-10001760,Technology,Phones,Bose SoundLink Bluetooth Speaker,1114.4,2016,9,7.016071422465596,1.7649390865055188,-1
283,CA-2016-130890,2016-11-02,2016-11-06,Standard Class,JO-15280,Jas O'Carroll,Consumer,United States,Los Angeles,California,90004.0,West,FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",1038.84,2016,11,6.945859985015683,1.7222814893584826,-1
289,CA-2017-112697,2017-12-18,2017-12-20,Second Class,AH-10195,Alan Haines,Corporate,United States,Tamarac,Florida,33319.0,South,OFF-SU-10000646,Office Supplies,Supplies,Premier Automatic Letter Opener,961.48,2017,12,6.868473763980461,1.6752647872149478,-1
300,CA-2017-142545,2017-10-28,2017-11-03,Standard Class,JD-15895,Jonathan Doherty,Corporate,United States,Belleville,New Jersey,7109.0,East,OFF-ST-10002756,Office Supplies,Storage,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",1082.48,2017,10,6.987009983955389,1.747282545327792,-1
319,CA-2015-164973,2015-11-04,2015-11-09,Standard Class,NM-18445,Nathan Mautz,Home Office,United States,New York City,New York,10024.0,East,TEC-MA-10002927,Technology,Machines,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3991.98,2015,11,8.292042627398764,2.5401669925014083,-1
335,CA-2016-137946,2016-09-01,2016-09-04,Second Class,DB-13615,Doug Bickford,Consumer,United States,Los Angeles,California,90045.0,West,OFF-BI-10001922,Office Supplies,Binders,Storex Dura Pro Binders,4.752,2016,9,1.5585655820603437,-1.5508182035183553,-1
336,CA-2016-137946,2016-09-01,2016-09-04,Second Class,DB-13615,Doug Bickford,Consumer,United States,Los Angeles,California,90045.0,West,TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,959.984,2016,9,6.866916617656325,1.6743187288089882,-1
352,CA-2017-129714,2017-09-01,2017-09-03,First Class,AB-10060,Adam Bellavance,Home Office,United States,New York City,New York,10009.0,East,OFF-BI-10002160,Office Supplies,Binders,Acco Hanging Data Binders,3.048,2017,9,1.1144856378244,-1.8206230109731079,-1
354,CA-2017-129714,2017-09-01,2017-09-03,First Class,AB-10060,Adam Bellavance,Home Office,United States,New York City,New York,10009.0,East,OFF-BI-10004995,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,4355.168,2017,9,8.37911846489158,2.5930707092164957,-1
370,CA-2017-155516,2017-10-21,2017-10-21,Same Day,MK-17905,Michael Kennedy,Corporate,United States,Manchester,Connecticut,6040.0,East,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1043.92,2017,10,6.950738137153992,1.7252452550396278,-1
374,US-2015-119137,2015-07-23,2015-07-27,Standard Class,AG-10900,Arthur Gainer,Consumer,United States,Tucson,Arizona,85705.0,West,TEC-AC-10003911,Technology,Accessories,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,1023.936,2015,7,6.931409303646247,1.7135018465147178,-1
378,US-2018-134481,2018-08-27,2018-09-01,Standard Class,AR-10405,Allen Rosenblatt,Corporate,United States,Franklin,Massachusetts,2038.0,East,FUR-TA-10004915,Furniture,Tables,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",1488.424,2018,8,7.305473121040127,1.9407677195578912,-1
388,CA-2016-122756,2016-12-03,2016-12-07,Standard Class,DK-13225,Dean Katz,Corporate,United States,Philadelphia,Pennsylvania,19140.0,East,FUR-FU-10001935,Furniture,Furnishings,3M Hangers With Command Adhesive,2.96,2016,12,1.085189268335969,-1.8384222866025195,-1
389,CA-2015-115973,2015-11-24,2015-11-26,First Class,NG-18430,Nathan Gelder,Consumer,United States,Cincinnati,Ohio,45231.0,East,OFF-AR-10004757,Office Supplies,Art,Crayola Colored Pencils,2.624,2015,11,0.9646998710818426,-1.9116267153285704,-1
393,US-2015-135972,2015-09-21,2015-09-23,Second Class,JG-15115,Jack Garza,Consumer,United States,Des Moines,Washington,98198.0,West,TEC-CO-10002313,Technology,Copiers,Canon PC1080F Personal Copier,1799.97,2015,9,7.495525277078699,2.0562356348103386,-1
400,CA-2017-108987,2017-09-08,2017-09-10,Second Class,AG-10675,Anna Gayman,Consumer,United States,Houston,Texas,77036.0,Central,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",2396.2656,2017,9,7.781666804510807,2.230083521245422,-1
407,CA-2018-117457,2018-12-08,2018-12-12,Standard Class,KH-16510,Keith Herrera,Consumer,United States,San Francisco,California,94110.0,West,TEC-CO-10004115,Technology,Copiers,Sharp AL-1530CS Digital Copier,1199.976,2018,12,7.090056835576089,1.809889596876082,-1
409,CA-2018-117457,2018-12-08,2018-12-12,Standard Class,KH-16510,Keith Herrera,Consumer,United States,San Francisco,California,94110.0,West,FUR-TA-10002041,Furniture,Tables,"Bevis Round Conference Table Top, X-Base",1004.024,2018,12,6.911771204348439,1.7015705407473778,-1
413,CA-2018-117457,2018-12-08,2018-12-12,Standard Class,KH-16510,Keith Herrera,Consumer,United States,San Francisco,California,94110.0,West,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,1336.829,2018,12,7.19805567064253,1.8755052709875817,-1
433,US-2017-123750,2017-04-15,2017-04-21,Standard Class,RB-19795,Ross Baird,Home Office,United States,Gastonia,North Carolina,28052.0,South,OFF-ST-10000617,Office Supplies,Storage,Woodgrain Magazine Files by Perma,4.768,2017,4,1.5619269297630487,-1.5487759861620252,-1
437,CA-2017-147375,2017-06-12,2017-06-14,Second Class,PO-19180,Philisse Overcash,Home Office,United States,Chicago,Illinois,60623.0,Central,TEC-MA-10002937,Technology,Machines,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",1007.979,2017,6,6.9157026150809635,1.7039591050801788,-1
447,CA-2018-154214,2018-03-20,2018-03-25,Second Class,TB-21595,Troy Blackwell,Consumer,United States,Columbus,Indiana,47201.0,Central,FUR-FU-10000206,Furniture,Furnishings,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",2.91,2018,3,1.0681530811834012,-1.848772776990844,-1
464,CA-2017-109869,2017-04-22,2017-04-29,Standard Class,TN-21040,Tanja Norvell,Home Office,United States,Phoenix,Arizona,85023.0,West,FUR-TA-10001889,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table,1272.63,2017,4,7.148840904306785,1.845604392266314,-1
470,US-2017-100419,2017-12-16,2017-12-20,Second Class,CC-12670,Craig Carreira,Consumer,United States,Chicago,Illinois,60610.0,Central,OFF-BI-10002194,Office Supplies,Binders,Cardinal Hold-It CD Pocket,4.788,2017,12,1.5661127876957268,-1.5462328301194745,-1
488,CA-2015-154627,2015-10-29,2015-10-31,First Class,SA-20830,Sue Ann Reed,Consumer,United States,Chicago,Illinois,60610.0,Central,TEC-PH-10001363,Technology,Phones,Apple iPhone 5S,2735.952,2015,10,7.914234734728897,2.310626372485205,-1
504,US-2017-105578,2017-05-30,2017-06-04,Standard Class,MY-17380,Maribeth Yedwab,Corporate,United States,Parker,Colorado,80134.0,West,OFF-BI-10000831,Office Supplies,Binders,Storex Flexible Poly Binders with Double Pockets,2.376,2017,5,0.8654184015003984,-1.9719460747860973,-1
507,CA-2016-145352,2016-03-16,2016-03-22,Standard Class,CM-12385,Christopher Martinez,Consumer,United States,Atlanta,Georgia,30318.0,South,OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,2.74,2016,3,1.007957920399979,-1.885344894186594,-1
510,CA-2016-145352,2016-03-16,2016-03-22,Standard Class,CM-12385,Christopher Martinez,Consumer,United States,Atlanta,Georgia,30318.0,South,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,6354.95,2016,3,8.756989315771989,2.8226495800658955,-1
516,CA-2018-127432,2018-01-22,2018-01-27,Standard Class,AD-10180,Alan Dominguez,Home Office,United States,Great Falls,Montana,59405.0,West,TEC-CO-10003236,Technology,Copiers,Canon Image Class D660 Copier,2999.95,2018,1,8.006350900844689,2.3665923866791188,-1
519,CA-2018-127432,2018-01-22,2018-01-27,Standard Class,AD-10180,Alan Dominguez,Home Office,United States,Great Falls,Montana,59405.0,West,OFF-ST-10004459,Office Supplies,Storage,Tennsco Single-Tier Lockers,1126.02,2018,1,7.026444570531236,1.7712413869198396,-1
534,CA-2017-168753,2017-05-29,2017-06-01,Second Class,RL-19615,Rob Lucas,Consumer,United States,Montgomery,Alabama,36116.0,South,TEC-PH-10000984,Technology,Phones,Panasonic KX-TG9471B,979.95,2017,5,6.8875015499548695,1.6868252915740185,-1
552,CA-2017-136406,2017-04-15,2017-04-17,Second Class,BD-11320,Bill Donatelli,Consumer,United States,San Francisco,California,94110.0,West,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,1121.568,2017,4,7.022482985202847,1.7688344897369899,-1
555,CA-2018-100650,2018-06-29,2018-07-03,Second Class,DK-13225,Dean Katz,Corporate,United States,Anaheim,California,92804.0,West,OFF-ST-10001780,Office Supplies,Storage,Tennsco 16-Compartment Lockers with Coat Rack,1295.78,2018,6,7.166868109416114,1.8565569846240668,-1
558,CA-2017-113243,2017-06-10,2017-06-15,Standard Class,OT-18730,Olvera Toch,Consumer,United States,Los Angeles,California,90045.0,West,FUR-TA-10004256,Furniture,Tables,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,1335.68,2017,6,7.197195804448781,1.8749828514641322,-1
564,CA-2016-130736,2016-12-07,2016-12-09,First Class,JF-15490,Jeremy Farry,Consumer,United States,Seattle,Washington,98105.0,West,OFF-FA-10003467,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",3.96,2016,12,1.3762440252663892,-1.6615893229173162,-1
565,CA-2016-130736,2016-12-07,2016-12-09,First Class,JF-15490,Jeremy Farry,Consumer,United States,Seattle,Washington,98105.0,West,OFF-LA-10000634,Office Supplies,Labels,Avery 509,2.61,2016,12,0.959350221334602,-1.914876943668623,-1
596,CA-2015-131450,2015-08-08,2015-08-15,Standard Class,LR-16915,Lena Radford,Consumer,United States,San Diego,California,92024.0,West,TEC-CO-10004115,Technology,Copiers,Sharp AL-1530CS Digital Copier,1199.976,2015,8,7.090056835576089,1.809889596876082,-1
608,US-2015-105767,2015-05-23,2015-05-27,Standard Class,AR-10510,Andrew Roberts,Consumer,United States,Philadelphia,Pennsylvania,19134.0,East,OFF-BI-10000848,Office Supplies,Binders,Angle-D Ring Binders,3.282,2015,5,1.188452992667899,-1.7756834720668329,-1
616,CA-2018-138611,2018-11-14,2018-11-17,Second Class,CK-12595,Clytie Kelty,Consumer,United States,Grove City,Ohio,43123.0,East,OFF-BI-10002949,Office Supplies,Binders,Prestige Round Ring Binders,3.648,2018,11,1.294179072212085,-1.7114486312355406,-1
639,CA-2017-115917,2017-05-20,2017-05-25,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Vallejo,California,94591.0,West,FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,1049.2,2017,5,6.955783247992719,1.7283104579971105,-1
656,CA-2017-137239,2017-08-22,2017-08-28,Standard Class,CR-12730,Craig Reiter,Consumer,United States,Columbus,Ohio,43229.0,East,OFF-BI-10002827,Office Supplies,Binders,Avery Durable Poly Binders,3.318,2017,8,1.1993621917682529,-1.7690554889728864,-1
659,US-2017-156097,2017-09-19,2017-09-19,Same Day,EH-14125,Eugene Hildebrand,Home Office,United States,Aurora,Illinois,60505.0,Central,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,2.308,2017,9,0.836381348645853,-1.9895878002370257,-1
660,CA-2016-146563,2016-08-24,2016-08-28,Standard Class,CB-12025,Cassandra Brandow,Consumer,United States,Arlington,Texas,76017.0,Central,OFF-ST-10001490,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",999.432,2016,8,6.907187117609028,1.6987854371728157,-1
663,CA-2016-146563,2016-08-24,2016-08-28,Standard Class,CB-12025,Cassandra Brandow,Consumer,United States,Arlington,Texas,76017.0,Central,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",2.724,2016,8,1.002101388287266,-1.888903083516089,-1
677,US-2018-119438,2018-03-18,2018-03-23,Standard Class,CD-11980,Carol Darley,Consumer,United States,Tyler,Texas,75701.0,Central,OFF-AP-10000804,Office Supplies,Appliances,Hoover Portapower Portable Vacuum,2.688,2018,3,0.9887974226609032,-1.8969860287848317,-1
684,US-2018-168116,2018-11-04,2018-11-04,Same Day,GT-14635,Grant Thornton,Corporate,United States,Burlington,North Carolina,27217.0,South,TEC-MA-10004125,Technology,Machines,Cubify CubeX 3D Printer Triple Head Print,7999.98,2018,11,8.987194320658848,2.9625127236840623,-1
699,CA-2016-119291,2016-05-14,2016-05-17,First Class,JO-15550,Jesus Ocampo,Home Office,United States,Chester,Pennsylvania,19013.0,East,OFF-AR-10001118,Office Supplies,Art,"Binney & Smith Crayola Metallic Crayons, 16-Color Pack",2.696,2016,5,0.9917691930500606,-1.8951805026671733,-1
722,CA-2017-142335,2017-12-15,2017-12-19,Standard Class,MP-17965,Michael Paige,Corporate,United States,Detroit,Michigan,48205.0,Central,FUR-TA-10000198,Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,1652.94,2017,12,7.4103107995215955,2.004462804246668,-1
742,CA-2015-112326,2015-01-04,2015-01-08,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540.0,Central,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,3.54,2015,1,1.264126727145683,-1.7297072067002688,-1
744,US-2017-146710,2017-08-27,2017-09-01,Standard Class,SS-20875,Sung Shariari,Consumer,United States,Dallas,Texas,75220.0,Central,OFF-PA-10002615,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",3.528,2017,8,1.260731138144545,-1.7317702276687656,-1
745,US-2017-146710,2017-08-27,2017-09-01,Standard Class,SS-20875,Sung Shariari,Consumer,United States,Dallas,Texas,75220.0,Central,OFF-PA-10004971,Office Supplies,Paper,Xerox 196,4.624,2017,8,1.5312601313700762,-1.5674078783315881,-1
753,CA-2018-126074,2018-10-02,2018-10-06,Standard Class,RF-19735,Roland Fjeld,Consumer,United States,Trenton,Michigan,48183.0,Central,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders,2.88,2018,10,1.0577902941478545,-1.8550687824671344,-1
754,CA-2017-110499,2017-04-07,2017-04-09,First Class,YC-21895,Yoseph Carroll,Corporate,United States,San Francisco,California,94110.0,West,TEC-CO-10002095,Technology,Copiers,Hewlett Packard 610 Color Digital Copier / Printer,1199.976,2017,4,7.090056835576089,1.809889596876082,-1
781,CA-2016-144267,2016-08-21,2016-08-23,First Class,NZ-18565,Nick Zandusky,Home Office,United States,San Francisco,California,94110.0,West,OFF-PA-10003657,Office Supplies,Paper,Xerox 1927,4.28,2016,8,1.4539530095937054,-1.6143765230012803,-1
793,CA-2017-105256,2017-05-20,2017-05-20,Same Day,JK-15730,Joe Kamberova,Consumer,United States,Asheville,North Carolina,28806.0,South,TEC-PH-10001530,Technology,Phones,Cisco Unified IP Phone 7945G VoIP phone,1363.96,2017,5,7.2181475124602095,1.887712252148051,-1
807,CA-2015-134313,2015-11-01,2015-11-07,Standard Class,RA-19915,Russell Applegate,Consumer,United States,Denver,Colorado,80219.0,West,TEC-PH-10001795,Technology,Phones,ClearOne CHATAttach 160 - speaker phone,1983.968,2015,11,7.592854158682486,2.1153686816901676,-1
811,CA-2015-151995,2015-10-13,2015-10-15,First Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Edmonds,Washington,98026.0,West,FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",1298.55,2015,10,7.1690035363298925,1.8578543826596772,-1
815,CA-2018-143686,2018-05-14,2018-05-14,Same Day,PJ-19015,Pauline Johnson,Consumer,United States,Santa Ana,California,92704.0,West,TEC-AC-10001838,Technology,Accessories,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,1399.93,2018,5,7.244177514353308,1.9035270164488745,-1
819,CA-2015-140858,2015-06-28,2015-07-02,Standard Class,CA-12775,Cynthia Arntzen,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-BI-10003094,Office Supplies,Binders,Self-Adhesive Ring Binder Labels,3.168,2015,6,1.1531004739521795,-1.7971622162185108,-1
820,CA-2015-140858,2015-06-28,2015-07-02,Standard Class,CA-12775,Cynthia Arntzen,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,FUR-CH-10001394,Furniture,Chairs,Global Leather Executive Chair,1228.465,2015,6,7.1135207015268955,1.8241452819552486,-1
866,CA-2015-149020,2015-01-10,2015-01-15,Standard Class,AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153.0,South,OFF-LA-10004272,Office Supplies,Labels,Avery 482,2.89,2015,1,1.0612565021243408,-1.8529628562981357,-1
