Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Year,Month,Log_Sales,z_score,iso_anomaly,lof_anomaly
64,CA-2016-135545,2016-11-24,2016-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004.0,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,2016,11,3.2513042920875384,-0.5223794107782815,1,-1
66,CA-2016-135545,2016-11-24,2016-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004.0,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,2016,11,4.379022125653583,0.16277581160419796,1,-1
74,US-2016-134026,2016-04-26,2016-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109.0,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2016,4,4.575123264635795,0.28191884143812873,1,-1
79,US-2015-147606,2015-11-26,2015-12-01,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070.0,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,2015,11,2.9601050959108397,-0.6993001298407248,1,-1
82,CA-2015-139451,2015-10-12,2015-10-16,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122.0,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,2015,10,2.7013612129514133,-0.8565023282918941,1,-1
84,CA-2016-149734,2016-09-03,2016-09-08,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707.0,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,2016,9,5.3032253029006196,0.7242838542950945,1,-1
97,CA-2018-161018,2018-11-09,2018-11-11,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009.0,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,2018,11,4.569853840860524,0.27871735511671736,1,-1
104,US-2016-156867,2016-11-13,2016-11-17,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013.0,West,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,2016,11,5.476028310784308,0.8292718927661346,1,-1
114,CA-2015-115259,2015-08-25,2015-08-27,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229.0,East,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,2015,8,3.6912765787136577,-0.255070248048975,1,-1
130,US-2017-125969,2017-11-06,2017-11-10,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004.0,West,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,2017,11,5.474620851016429,0.828416777788298,1,-1
166,CA-2015-139892,2015-09-08,2015-09-12,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207.0,Central,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,8159.952,2015,9,9.00699356558791,2.9745419349447197,-1,-1
191,CA-2016-102281,2016-10-12,2016-10-14,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035.0,East,TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,71.76,2016,10,4.27332721775054,0.09855990938687835,1,-1
195,CA-2016-131457,2016-10-31,2016-11-06,Standard Class,MZ-17515,Mary Zewe,Corporate,United States,Redlands,California,92374.0,West,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,14.28,2016,10,2.658859956911438,-0.8823243527973693,1,-1
200,US-2018-124303,2018-07-06,2018-07-13,Standard Class,FH-14365,Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,19120.0,East,OFF-PA-10002749,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16.056,2018,7,2.776082611494037,-0.8111046632808593,1,-1
206,CA-2018-108329,2018-12-09,2018-12-14,Standard Class,LE-16810,Laurel Elliston,Consumer,United States,Whittier,California,90604.0,West,TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,444.768,2018,12,6.097552797902347,1.2068847454785303,1,-1
212,CA-2016-101007,2016-02-09,2016-02-13,Second Class,MS-17980,Michael Stewart,Corporate,United States,Dallas,Texas,75220.0,Central,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,20.8,2016,2,3.0349529867072724,-0.6538256133108893,1,-1
217,CA-2016-146262,2016-01-02,2016-01-09,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256.0,East,TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,89.584,2016,1,4.495176732606538,0.23334659907320787,1,-1
247,CA-2015-131926,2015-06-01,2015-06-06,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044.0,Central,OFF-PA-10004082,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",47.88,2015,6,3.8686978806897723,-0.14727632301505408,1,-1
253,CA-2017-146941,2017-12-10,2017-12-13,First Class,DL-13315,Delfina Latchford,Consumer,United States,New York City,New York,10024.0,East,OFF-ST-10001228,Office Supplies,Storage,"Fellowes Personal Hanging Folder Files, Navy",80.58,2017,12,4.389250479763201,0.16899014113414956,1,-1
261,CA-2018-163139,2018-12-01,2018-12-03,Second Class,CC-12670,Craig Carreira,Consumer,United States,New York City,New York,10009.0,East,OFF-BI-10003460,Office Supplies,Binders,Acco 3-Hole Punch,17.52,2018,12,2.8633430855082453,-0.7580887689685839,1,-1
279,CA-2018-132976,2018-10-13,2018-10-17,Standard Class,AG-10495,Andrew Gjertsen,Corporate,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-ST-10000876,Office Supplies,Storage,Eldon Simplefile Box Office,59.712,2018,10,4.089533005224879,-0.013105935390469123,1,-1
285,CA-2016-130883,2016-09-26,2016-10-02,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Portland,Oregon,97206.0,West,TEC-AC-10001956,Technology,Accessories,Microsoft Arc Touch Mouse,239.8,2016,9,5.479805242593414,0.831566602024574,1,-1
303,CA-2017-142545,2017-10-28,2017-11-03,Standard Class,JD-15895,Jonathan Doherty,Corporate,United States,Belleville,New Jersey,7109.0,East,OFF-BI-10002706,Office Supplies,Binders,Avery Premier Heavy-Duty Binder with Round Locking Rings,14.28,2017,10,2.658859956911438,-0.8823243527973693,1,-1
310,CA-2017-142902,2017-09-12,2017-09-14,Second Class,BP-11185,Ben Peterman,Corporate,United States,Arvada,Colorado,80004.0,West,FUR-FU-10001918,Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,15.136,2017,9,2.7170760123095223,-0.8469546590714351,1,-1
315,CA-2015-167850,2015-08-09,2015-08-16,Standard Class,AG-10525,Andy Gerbode,Corporate,United States,Saint Petersburg,Florida,33710.0,South,TEC-PH-10002398,Technology,Phones,AT&T 1070 Corded Phone,178.384,2015,8,5.183938530025215,0.6518100909439454,1,-1
330,US-2017-141544,2017-08-30,2017-09-01,First Class,PO-18850,Patrick O'Brill,Consumer,United States,Philadelphia,Pennsylvania,19143.0,East,OFF-LA-10001074,Office Supplies,Labels,Round Specialty Laser Printer Labels,100.24,2017,8,4.607567310587813,0.30163051651996164,1,-1
341,CA-2015-122336,2015-04-13,2015-04-17,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-AR-10000122,Office Supplies,Art,Newell 314,17.856,2015,4,2.8823395861989005,-0.7465472722680864,1,-1
343,CA-2015-122336,2015-04-13,2015-04-17,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-FA-10002780,Office Supplies,Fasteners,Staples,30.992,2015,4,3.4337291066646403,-0.41154555617440564,1,-1
344,CA-2015-122336,2015-04-13,2015-04-17,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140.0,East,TEC-PH-10000702,Technology,Phones,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",71.928,2015,4,4.2756656186824715,0.09998062613254721,1,-1
361,CA-2018-155698,2018-03-08,2018-03-11,First Class,VB-21745,Victoria Brennan,Corporate,United States,Columbus,Georgia,31907.0,South,OFF-LA-10001158,Office Supplies,Labels,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",20.7,2018,3,3.0301337002713233,-0.6567536145993907,1,-1
362,CA-2018-144904,2018-09-25,2018-10-01,Standard Class,KW-16435,Katrina Willman,Consumer,United States,New York City,New York,10009.0,East,OFF-LA-10001158,Office Supplies,Labels,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",20.7,2018,9,3.0301337002713233,-0.6567536145993907,1,-1
373,US-2015-119137,2015-07-23,2015-07-27,Standard Class,AG-10900,Arthur Gainer,Consumer,United States,Tucson,Arizona,85705.0,West,OFF-BI-10001982,Office Supplies,Binders,Wilson Jones Custom Binder Spines & Labels,8.16,2015,7,2.0992441689760155,-1.222324012481022,1,-1
376,US-2015-119137,2015-07-23,2015-07-27,Standard Class,AG-10900,Arthur Gainer,Consumer,United States,Tucson,Arizona,85705.0,West,TEC-AC-10002076,Technology,Accessories,Microsoft Natural Keyboard Elite,479.04,2015,7,6.171784101231264,1.2519846486867974,1,-1
387,CA-2016-122756,2016-12-03,2016-12-07,Standard Class,DK-13225,Dean Katz,Corporate,United States,Philadelphia,Pennsylvania,19140.0,East,TEC-MA-10001681,Technology,Machines,Lexmark MarkNet N8150 Wireless Print Server,482.34,2016,12,6.1786492595679245,1.2561556380485348,1,-1
404,CA-2015-155208,2015-04-16,2015-04-20,Standard Class,SP-20650,Stephanie Phelps,Corporate,United States,Wilmington,North Carolina,28403.0,South,OFF-AR-10003478,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",39.072,2015,4,3.6654060979282943,-0.2707880938505145,1,-1
430,US-2017-123750,2017-04-15,2017-04-21,Standard Class,RB-19795,Ross Baird,Home Office,United States,Gastonia,North Carolina,28052.0,South,OFF-BI-10004584,Office Supplies,Binders,GBC ProClick 150 Presentation Binding System,189.588,2017,4,5.244853296678712,0.6888194112283258,1,-1
460,CA-2016-109638,2016-12-15,2016-12-22,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Seattle,Washington,98115.0,West,OFF-AP-10002472,Office Supplies,Appliances,3M Office Air Cleaner,103.92,2016,12,4.643621372362344,0.32353548953507,1,-1
477,CA-2015-144666,2015-11-09,2015-11-11,Second Class,JP-15520,Jeremy Pistek,Consumer,United States,San Francisco,California,94110.0,West,OFF-PA-10003465,Office Supplies,Paper,Xerox 1912,94.85,2015,11,4.552296696381023,0.26805035236815355,1,-1
478,CA-2017-103891,2017-07-12,2017-07-19,Standard Class,KH-16690,Kristen Hastings,Corporate,United States,Los Angeles,California,90008.0,West,TEC-PH-10000149,Technology,Phones,Cisco SPA525G2 IP Phone - Wireless,95.76,2017,7,4.561845061249718,0.27385154825268826,1,-1
479,CA-2017-152632,2017-10-27,2017-11-02,Standard Class,JE-15475,Jeremy Ellison,Consumer,United States,Troy,New York,12180.0,East,FUR-FU-10002671,Furniture,Furnishings,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,40.2,2017,10,3.6938669956249757,-0.25349641670383694,1,-1
482,CA-2015-134677,2015-10-06,2015-10-10,Standard Class,XP-21865,Xylona Preis,Consumer,United States,San Diego,California,92024.0,West,TEC-AC-10001445,Technology,Accessories,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,9.09,2015,10,2.2071749081893874,-1.156749710624145,1,-1
495,US-2017-120929,2017-03-18,2017-03-21,Second Class,RO-19780,Rose O'Brian,Consumer,United States,Memphis,Tennessee,38109.0,South,FUR-TA-10001857,Furniture,Tables,Balt Solid Wood Rectangular Table,189.882,2017,3,5.246402826595836,0.6897608422169609,1,-1
497,CA-2017-126158,2017-07-25,2017-07-31,Standard Class,SC-20095,Sanjit Chand,Consumer,United States,Costa Mesa,California,92627.0,West,OFF-BI-10002498,Office Supplies,Binders,Clear Mylar Reinforcing Strips,119.616,2017,7,4.784286611833098,0.40899793462765677,1,-1
510,CA-2016-145352,2016-03-16,2016-03-22,Standard Class,CM-12385,Christopher Martinez,Consumer,United States,Atlanta,Georgia,30318.0,South,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,6354.95,2016,3,8.756989315771989,2.8226495800658955,-1,-1
511,CA-2018-135307,2018-11-26,2018-11-27,First Class,LS-17245,Lynn Smith,Consumer,United States,Gladstone,Missouri,64118.0,Central,FUR-FU-10001290,Furniture,Furnishings,Executive Impressions Supervisor Wall Clock,126.3,2018,11,4.838660029356445,0.44203299877761354,1,-1
532,CA-2016-102848,2016-11-07,2016-11-09,Second Class,KB-16240,Karen Bern,Corporate,United States,Los Angeles,California,90036.0,West,FUR-CH-10000595,Furniture,Chairs,Safco Contoured Stacking Chairs,190.72,2016,11,5.250806383876985,0.6924362634778796,1,-1
533,US-2018-129441,2018-09-07,2018-09-11,Standard Class,JC-15340,Jasper Cacioppo,Consumer,United States,Los Angeles,California,90032.0,West,FUR-FU-10000448,Furniture,Furnishings,Tenex Chairmats For Use With Carpeted Floors,47.94,2018,9,3.869950229006238,-0.14651544740971295,1,-1
545,CA-2015-103849,2015-05-11,2015-05-16,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Fort Worth,Texas,76106.0,Central,TEC-PH-10002597,Technology,Phones,Xblue XB-1670-86 X16 Small Office Telephone - Titanium,100.792,2015,5,4.613058987408329,0.30496703469961595,1,-1
556,CA-2015-155852,2015-03-03,2015-03-07,Second Class,AJ-10945,Ashley Jarboe,Consumer,United States,Wilmington,North Carolina,28403.0,South,OFF-AR-10003560,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,19.456,2015,3,2.9681555057837565,-0.6944090301324701,1,-1
557,CA-2017-113243,2017-06-10,2017-06-15,Standard Class,OT-18730,Olvera Toch,Consumer,United States,Los Angeles,California,90045.0,West,OFF-LA-10001297,Office Supplies,Labels,Avery 473,20.7,2017,6,3.0301337002713233,-0.6567536145993907,1,-1
561,CA-2018-118731,2018-11-20,2018-11-22,Second Class,LP-17080,Liz Pelletier,Consumer,United States,San Francisco,California,94110.0,West,OFF-BI-10000069,Office Supplies,Binders,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",84.056,2018,11,4.431483243386474,0.19464904063086955,1,-1
562,CA-2015-145576,2015-09-14,2015-09-18,Second Class,CA-12775,Cynthia Arntzen,Consumer,United States,Tampa,Florida,33614.0,South,OFF-AP-10003914,Office Supplies,Appliances,"Sanitaire Vibra Groomer IR Commercial Upright Vacuum, Replacement Belts",13.0,2015,9,2.5649493574615367,-0.9393805912774368,1,-1
574,CA-2018-164826,2018-12-28,2019-01-04,Standard Class,JF-15415,Jennifer Ferguson,Consumer,United States,New York City,New York,10024.0,East,TEC-PH-10000347,Technology,Phones,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,14.85,2018,12,2.6979998652487085,-0.8585445456482242,1,-1
576,CA-2016-149713,2016-09-18,2016-09-22,Second Class,TG-21640,Trudy Glocke,Consumer,United States,Long Beach,California,90805.0,West,OFF-PA-10004530,Office Supplies,Paper,Personal Creations Ink Jet Cards and Labels,160.72,2016,9,5.079663720506679,0.5884569824108976,1,-1
594,CA-2015-135405,2015-01-09,2015-01-13,Standard Class,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041.0,Central,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31.2,2015,1,3.4404180948154366,-0.40748160061073385,1,-1
613,CA-2017-121223,2017-09-11,2017-09-13,Second Class,GD-14590,Giulietta Dortch,Corporate,United States,Philadelphia,Pennsylvania,19143.0,East,OFF-PA-10001204,Office Supplies,Paper,Xerox 1972,8.448,2017,9,2.1339297269639057,-1.2012504863831823,1,-1
617,CA-2018-117947,2018-08-18,2018-08-23,Second Class,NG-18355,Nat Gilpin,Corporate,United States,New York City,New York,10011.0,East,FUR-FU-10003849,Furniture,Furnishings,"DAX Metal Frame, Desktop, Stepped-Edge",40.48,2018,8,3.70080802497921,-0.24927933121559423,1,-1
628,CA-2018-153787,2018-05-19,2018-05-23,Standard Class,AT-10735,Annie Thurman,Consumer,United States,Seattle,Washington,98115.0,West,OFF-AP-10001563,Office Supplies,Appliances,Belkin Premiere Surge Master II 8-outlet surge protector,97.16,2018,5,4.576359104133972,0.2826696869608292,1,-1
634,CA-2018-144694,2018-09-24,2018-09-26,Second Class,BD-11605,Brian Dahlen,Consumer,United States,Miami,Florida,33180.0,South,TEC-AC-10002857,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack",17.88,2018,9,2.883682769745368,-0.745731208892933,1,-1
640,CA-2017-115917,2017-05-20,2017-05-25,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Vallejo,California,94591.0,West,OFF-BI-10004728,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,15.424,2017,5,2.73592473786819,-0.835502944495868,1,-1
648,CA-2017-103947,2017-04-01,2017-04-08,Standard Class,BB-10990,Barry Blumstein,Corporate,United States,Sierra Vista,Arizona,85635.0,West,OFF-AP-10002350,Office Supplies,Appliances,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,30.144,2017,4,3.4059858983939524,-0.42840119458547754,1,-1
673,CA-2018-111178,2018-06-15,2018-06-22,Standard Class,TD-20995,Tamara Dahlen,Consumer,United States,Quincy,Illinois,62301.0,Central,OFF-AR-10001954,Office Supplies,Art,Newell 331,19.56,2018,6,2.9734866646066713,-0.6911700361216012,1,-1
684,US-2018-168116,2018-11-04,2018-11-04,Same Day,GT-14635,Grant Thornton,Corporate,United States,Burlington,North Carolina,27217.0,South,TEC-MA-10004125,Technology,Machines,Cubify CubeX 3D Printer Triple Head Print,7999.98,2018,11,8.987194320658848,2.9625127236840623,-1,-1
690,US-2015-117135,2015-06-21,2015-06-23,Second Class,NP-18325,Naresj Patel,Consumer,United States,Waynesboro,Virginia,22980.0,South,FUR-FU-10004071,Furniture,Furnishings,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,104.01,2015,6,4.644487048365042,0.32406143886076594,1,-1
695,CA-2016-119291,2016-05-14,2016-05-17,First Class,JO-15550,Jesus Ocampo,Home Office,United States,Chester,Pennsylvania,19013.0,East,OFF-AR-10003373,Office Supplies,Art,"Boston School Pro Electric Pencil Sharpener, 1670",198.272,2016,5,5.289639825354349,0.7160298739000577,1,-1
697,CA-2016-119291,2016-05-14,2016-05-17,First Class,JO-15550,Jesus Ocampo,Home Office,United States,Chester,Pennsylvania,19013.0,East,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,2016,5,5.3032253029006196,0.7242838542950945,1,-1
702,CA-2018-114552,2018-09-02,2018-09-08,Standard Class,Dl-13600,Dorris liebe,Corporate,United States,Cleveland,Ohio,44105.0,East,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",15.072,2018,9,2.712838717834007,-0.8495290658532196,1,-1
719,CA-2015-104472,2015-06-02,2015-06-07,Standard Class,CK-12325,Christine Kargatis,Home Office,United States,Orem,Utah,84057.0,West,OFF-BI-10001658,Office Supplies,Binders,GBC Standard Therm-A-Bind Covers,59.808,2015,6,4.091139431273152,-0.012129936640085291,1,-1
723,CA-2017-142335,2017-12-15,2017-12-19,Standard Class,MP-17965,Michael Paige,Corporate,United States,Detroit,Michigan,48205.0,Central,OFF-ST-10000036,Office Supplies,Storage,"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",296.37,2017,12,5.691608673724493,0.96024970221028,1,-1
726,CA-2018-144113,2018-09-16,2018-09-20,Standard Class,JF-15355,Jay Fein,Consumer,United States,Austin,Texas,78745.0,Central,OFF-EN-10001141,Office Supplies,Envelopes,"Manila Recycled Extra-Heavyweight Clasp Envelopes, 6"" x 9""",17.568,2018,9,2.86607906532712,-0.7564264995555806,1,-1
735,CA-2018-131954,2018-01-21,2018-01-25,Standard Class,DS-13030,Darrin Sayre,Home Office,United States,Seattle,Washington,98115.0,West,OFF-BI-10003982,Office Supplies,Binders,Wilson Jones Century Plastic Molded Ring Binders,99.696,2018,1,4.602125555801866,0.298324328926274,1,-1
749,CA-2017-150889,2017-03-20,2017-03-22,Second Class,PB-19105,Peter Bühler,Consumer,United States,Evanston,Illinois,60201.0,Central,TEC-PH-10000004,Technology,Phones,Belkin iPhone and iPad Lightning Cable,11.992,2017,3,2.4842397608002966,-0.9884164404968893,1,-1
773,CA-2018-104220,2018-01-30,2018-02-05,Standard Class,BV-11245,Benjamin Venier,Corporate,United States,Des Moines,Iowa,50315.0,Central,OFF-BI-10000301,Office Supplies,Binders,GBC Instant Report Kit,32.35,2018,1,3.4766140209469096,-0.3854904366158117,1,-1
790,CA-2016-115938,2016-06-26,2016-06-30,Standard Class,SA-20830,Sue Ann Reed,Consumer,United States,Richmond,Virginia,23223.0,South,OFF-ST-10001321,Office Supplies,Storage,"Decoflex Hanging Personal Folder File, Blue",15.42,2016,6,2.7356653681351832,-0.8356605269352053,1,-1
813,CA-2015-151995,2015-10-13,2015-10-15,First Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Edmonds,Washington,98026.0,West,TEC-AC-10001101,Technology,Accessories,Sony 16GB Class 10 Micro SDHC R40 Memory Card,25.78,2015,10,3.2495989975110415,-0.5234154780018464,1,-1
847,CA-2016-114300,2016-10-13,2016-10-17,Standard Class,AF-10885,Art Foster,Consumer,United States,Louisville,Kentucky,40214.0,South,TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,83.72,2016,10,4.427477897577799,0.19221555637037582,1,-1
863,CA-2017-134474,2017-01-05,2017-01-07,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida,32216.0,South,TEC-AC-10001714,Technology,Accessories,Logitech MX Performance Wireless Mouse,191.472,2017,1,5.25474158383116,0.6948271299867442,1,-1
870,CA-2017-158099,2017-09-03,2017-09-05,First Class,PK-18910,Paul Knutson,Home Office,United States,Philadelphia,Pennsylvania,19143.0,East,OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,1141.47,2017,9,7.040072184415558,1.7795209676301398,-1,-1
887,CA-2018-115364,2018-06-26,2018-07-02,Standard Class,OT-18730,Olvera Toch,Consumer,United States,San Diego,California,92105.0,West,OFF-ST-10002486,Office Supplies,Storage,Eldon Shelf Savers Cubes and Bins,83.76,2018,6,4.427955566562281,0.19250576850460546,1,-1
897,CA-2017-140634,2017-10-03,2017-10-06,Second Class,HL-15040,Hunter Lopez,Consumer,United States,Houston,Texas,77095.0,Central,OFF-EN-10001099,Office Supplies,Envelopes,Staple envelope,15.648,2017,10,2.7503431132924616,-0.8267429294227957,1,-1
901,CA-2018-150959,2018-11-11,2018-11-13,First Class,TD-20995,Tamara Dahlen,Consumer,United States,Garland,Texas,75043.0,Central,OFF-LA-10001045,Office Supplies,Labels,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,10.44,2018,11,2.3456445824544927,-1.0726212011331389,1,-1
920,CA-2017-165218,2017-03-05,2017-03-11,Standard Class,RW-19630,Rob Williams,Corporate,United States,Dallas,Texas,75220.0,Central,OFF-ST-10001558,Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers,12.992,2017,3,2.5643337834193223,-0.9397545888832498,1,-1
